基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
中海医疗保健主题股票,399011,12.90亿元（2020-09-30）,11.41%,13.46%,18.15%,61.49%,128.42%,411.64%,刘俊,225天,35.91%,10年又316天
嘉实新能源新材料股票C,003985,2.63亿元（2020-09-30）,20.44%,42.66%,45.54%,106.67%,147.32%,194.88%,姚志鹏,3年又301天,194.88%,4年又256天
民生加银优选股票,000884,2.89亿元（2020-09-30）,16.43%,27.95%,42.53%,91.68%,131.54%,204.01%,高松,1年又144天,115.46%,5年又204天
工银国企改革股票,001008,9.17亿元（2020-09-30）,21.41%,43.57%,56.64%,95.27%,110.54%,147.80%,何肖颉,2年又318天,116.23%,10年又97天
华夏创新前沿股票,002980,21.85亿元（2020-09-30）,12.63%,20.05%,20.83%,86.12%,160.26%,158.70%,屠环宇/林晶,293天,75.03%,293天/3年又342天
嘉实新能源新材料股票A,003984,15.26亿元（2020-09-30）,20.49%,42.85%,45.90%,107.69%,149.33%,198.60%,姚志鹏,3年又301天,198.60%,4年又256天
上投摩根大盘蓝筹股票,376510,4.12亿元（2020-09-30）,10.35%,22.52%,26.71%,66.62%,75.04%,225.40%,朱晓龙,1年又176天,98.66%,2年又56天
建信龙头企业股票,005259,1.44亿元（2020-09-30）,20.83%,35.93%,39.76%,80.72%,--,129.62%,刘克飞,62天,18.53%,2年又311天
嘉实资源精选股票A,005660,0.70亿元（2020-09-30）,22.79%,46.31%,63.00%,91.38%,--,146.32%,肖觅/苏文杰,173天,54.67%,4年又13天/2年又80天
建信量化事件驱动股票,004730,0.81亿元（2020-09-30）,9.66%,13.46%,16.94%,56.72%,57.46%,59.57%,薛玲,3年又120天,59.57%,4年又191天
富国医药成长30股票,009162,8.38亿元（2020-09-30）,14.44%,15.98%,14.49%,--,--,26.38%,孙笑悦,219天,25.03%,276天
招商科技动力3个月股票C,009602,2.60亿元（2020-09-14）,16.70%,16.47%,--,--,--,16.38%,张林/贾成东,118天,16.38%,5年又174天/5年又345天
