基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
前海开源1-3年国开债A,007765,4.02亿元（2020-09-30）,0.76%,1.34%,1.44%,2.79%,--,4.03%,李炳智,1年又136天,4.03%,3年又351天
工银1-3年国开债指数A,007122,27.18亿元（2020-09-30）,0.75%,1.35%,1.46%,2.79%,--,4.66%,陈涵/魏欣,1年又150天,4.22%,1年又205天/9年又268天
中融1-3年高等级信用债C,003084,0.00亿元（2020-09-30）,0.49%,0.73%,0.99%,2.76%,7.09%,9.03%,朱柏蓉,1年又127天,3.40%,1年又346天
南方0-2年国开债A,009615,79.31亿元（2020-08-06）,0.58%,1.09%,--,--,--,1.44%,朱佳/夏晨曦,142天,1.36%,233天/8年又176天
海富通上清所短融债券A,006481,1.78亿元（2020-09-30）,0.37%,0.87%,1.31%,2.47%,--,5.49%,陆丛凡/陈轶平,1年又192天,4.11%,1年又192天/7年又136天
浦银安盛中债1-3年国开债C,009036,0.00亿元（2020-09-30）,0.70%,1.21%,1.91%,--,--,1.42%,李羿,200天,1.42%,6年又119天
富国中债国开行债C,006410,0.00亿元（2020-09-30）,0.81%,1.34%,1.47%,2.60%,--,7.64%,吴旅忠/武磊,1年又256天,5.37%,4年又169天/3年又315天
建信中债1-3年国开债A,007026,42.36亿元（2020-09-30）,0.86%,1.40%,1.43%,3.03%,--,6.18%,闫晗/刘思,1年又292天,6.18%,3年又69天/4年又176天
华安中债1-5年国开行债A,009656,21.00亿元（2020-09-23）,1.01%,1.64%,--,--,--,1.69%,林唐宇,109天,1.69%,362天
平安中债1-5年政策性金融债A,009721,30.00亿元（2020-09-27）,0.49%,0.98%,--,--,--,1.01%,张恒/韩克,31天,0.45%,3年又3天/2年又130天
景顺长城中债1-3年国开行债券指数C,008823,0.00亿元（2020-09-30）,0.71%,1.30%,3.10%,--,--,3.12%,成念良,206天,3.12%,5年又32天
国泰中债1-3年国开债A,009593,79.00亿元（2020-08-27）,0.78%,1.34%,--,--,--,1.55%,索峰/王玉,128天,1.52%,11年又320天/1年又17天
国联安中债1-3年政金融债,008879,1.72亿元（2020-09-30）,0.88%,1.38%,1.52%,--,--,-0.17%,洪阳玚,10天,0.13%,1年又128天
鑫元中债1-3年国开债指数C,007325,0.02亿元（2020-09-30）,0.84%,1.36%,1.45%,1.94%,--,2.51%,王海燕,1年又65天,2.51%,2年又84天
大成中债1-3年国开债指数A,007946,13.88亿元（2020-09-30）,0.79%,1.36%,1.39%,2.04%,--,2.97%,方锐/方孝成,68天,1.02%,125天/3年又64天
兴业中债1-3年政金债A,002659,27.21亿元（2020-09-30）,0.78%,1.35%,1.33%,2.61%,6.69%,18.75%,唐丁祥,1年又319天,5.27%,1年又326天
永赢中债-1-5年国开债指数C,009172,0.00亿元（2020-09-30）,1.00%,1.71%,1.60%,--,--,-0.20%,章成,272天,-0.20%,1年又145天
兴业中债1-3年政金债C,007495,0.00亿元（2020-09-30）,0.76%,1.34%,1.33%,2.58%,--,4.44%,唐丁祥,1年又229天,4.44%,1年又326天
工银1-3年农发债指数A,007124,42.42亿元（2020-09-30）,0.77%,1.30%,1.39%,2.65%,--,4.96%,陈涵/魏欣,1年又205天,4.69%,1年又205天/9年又268天
天弘中债1-3年国开债,008933,45.71亿元（2020-09-30）,0.73%,1.30%,1.33%,--,--,0.07%,刘洋,263天,0.07%,3年又276天
中融中债1-5年国开行A,009529,60.71亿元（2020-09-30）,0.70%,1.22%,1.63%,--,--,1.68%,朱柏蓉/李倩,188天,1.61%,1年又346天/6年又83天
永赢中债-1-5年国开债指数A,009171,18.74亿元（2020-09-30）,1.01%,1.74%,1.66%,--,--,-0.10%,章成,272天,-0.10%,1年又145天
浦银安盛上清所优选短融A,007064,4.97亿元（2020-09-30）,0.50%,0.97%,1.36%,2.63%,--,4.06%,刘大巍,1年又177天,4.06%,4年又147天
